(73.61242420863684, 69.22126800368278)
(89.2461913763177, 75.67403217221951)
(87.58661000046541, 96.97185864315453)
(75.59520542508787, 45.65628375557435)
(45.671383422103865, 95.51995284548633)
(41.334895221509875, 74.32585208389172)
(43.469520995308535, 85.45788718001664)
(16.77948159409776, 61.05035017285991)
(78.7044566308082, 62.33155002902125)
(30.261300050165254, 13.95433735343822)
(64.38577011961864, 58.66253625524433)
(80.04653388768457, 67.90744542365599)
(54.38868491440739, 89.62063777360956)
(69.5254157152726, 98.47247396950007)
(54.36260965522177, 11.577673570613355)
(54.217837781001464, 88.96053376055471)
(38.33240954176366, 69.46937656340026)
(44.242575585943065, 42.71460925033608)
(32.58571544965341, 81.80153851818658)
(64.33236931291842, 76.7455396935187)
(25.593614723578217, 24.595151147835075)
(34.3153181181353, 56.3436072959233)
(88.07518360718538, 28.265050488005315)
(19.3672885647556, 48.01986018422074)
(70.76810020533698, 14.806532403190987)
(20.421634404689343, 46.23115366461004)
(3.603929454853504, 96.1996238450374)
(77.3179355729125, 53.78757359391068)
(69.07072059530547, 66.63893849399639)
(9.867119795709314, 79.353953139441)
(6.613261279349869, 48.12580927911766)
(27.539891609694422, 55.44115262466863)
(45.02424103960864, 3.7742255213649116)
(16.24651100476522, 49.54145603794554)
(47.55244517821589, 41.897808035652844)
(40.83287051236146, 62.282694276882104)
(37.030780505543255, 80.21906908660833)
(93.99648674374318, 81.73615450196905)
(12.914683631018182, 35.48611457454217)
(51.054066557438816, 19.77741309829476)
(9.673296804059461, 41.24969065628365)
(91.19604185610913, 96.48972644513535)
(93.54350981075645, 7.171237059045759)
(17.53337797184881, 59.26672748814633)
(83.36638816340351, 13.520132041509093)
(88.85822937406213, 16.811619344204278)
(7.801810369993891, 21.135536549092127)
(18.92568406096096, 65.57744436318382)
(57.32070364119139, 33.682181264115414)
(3.3734834044370734, 87.74732539027406)
