(6.227702362673888, 4.626494628579819)
(94.06835821738848, 72.24714138636153)
(26.671738516161085, 27.861961066129826)
(13.404805332891954, 28.66109157240152)
(5.008361155887629, 93.85552293464795)
(74.9481392798601, 59.59875538047621)
(95.13628181309959, 61.10959793252561)
(98.19259006027379, 36.52281490198324)
(10.274340054977609, 49.23566783792911)
(40.48027829299063, 70.83277083598368)
(25.234772191394434, 24.37469144606032)
(85.82913093159404, 54.440993006086735)
(47.17618880678082, 48.583617646797336)
(9.825438427234872, 66.97539809185204)
(66.98958694728937, 20.39336164369822)
(50.52237380808617, 19.93915262754018)
(41.15626835770158, 5.018275338377964)
(95.96916452897003, 79.42945451748223)
(95.24422730790145, 65.34209608488425)
(24.280031006827958, 21.174203938168162)
(81.06541952516974, 17.19754774853772)
(64.90528795927966, 66.13243360343684)
(18.98702442991422, 68.85615596614294)
(1.5017628635927374, 83.27894075906032)
(43.666180747569975, 63.304332533540915)
(12.524758178525094, 89.42084308948753)
(21.666053070536936, 40.69452332857197)
(72.89893638886417, 83.41739438542973)
(67.57470396780286, 77.00953789292882)
(95.27647242356333, 57.1967261902038)
(32.75663243754886, 62.53829453908291)
(77.6561106862867, 93.82489284561233)
(98.83460507010746, 85.50516186264049)
(89.90133859847244, 31.09508069559197)
(50.406850135616565, 61.9828007107146)
(6.684072649102139, 30.63480400952298)
(85.32752130155332, 71.78342163920337)
(18.273218200768994, 2.358688301855902)
(74.75540177076884, 38.42302541128297)
(29.303943865684783, 79.98461883708252)
(77.71453931261368, 20.275035854533723)
(13.764562922324329, 69.51113829204088)
(88.05702016216289, 52.70855071271213)
(66.02136560575273, 39.50876198554904)
(94.04012760794795, 98.68089180175912)
(29.27145605979798, 25.75837337511301)
(80.16368975419518, 31.202411521616927)
(36.2814907962891, 70.55587594146765)
(88.35428624925032, 57.90714762686861)
(15.563606854521904, 24.47018870738163)
